"BANK_NAME","Account number","Currency","Ledger date","Transaction type","Description","ADDITIONAL DETAILS","Value date","Amount","Bank reference","Client reference","TOTAL DEBIT AMOUNT","TOTAL CREDIT AMOUNT"
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Debit transactions","MISC PAYMENT","MRCH30124340019 FIRST DATA CANADA(J)",6/30/2025,322.91,,,516.59,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Debit transactions","BILL PAYMENT","000000000000000 B.C. HYDRO & POWER AUTHORITY",6/30/2025,193.68,,,516.59,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",6/30/2025,121878.14,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","MISC PAYMENT","Uber Holdings Canad",7/2/2025,6745.30,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",6/30/2025,4039.03,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",6/30/2025,3056.65,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",6/30/2025,2467.11,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",6/30/2025,2082.40,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","BUS ETRANSFER DEPOSIT","TXN REF:C1A2J6emrJru YUNG YUN HUANG",6/30/2025,1561.60,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","MISC PAYMENT","IOT PAY",6/30/2025,1511.29,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",6/30/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",6/30/2025,1267.08,,,,144608.60
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Debit transactions","MISC PAYMENT","MRCH30124340019 FIRST DATA CANADA(J)",7/2/2025,15102.24,,,20074.82,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Debit transactions","RENT/LEASE","Rent 100097669",7/2/2025,3800.00,,,20074.82,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Debit transactions","RENT/LEASE","000001496171295 ALOUETTE WARE WASH CHEMICAL",7/2/2025,952.00,,,20074.82,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Debit transactions","DEPOSIT NOTE FEE","FULL-SERVICE 65054.8 AT 1.5/1,000",6/30/2025,97.58,,,20074.82,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Debit transactions","SERVICE CHARGE","SELF-SERVICE",6/30/2025,84.00,,,20074.82,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Debit transactions","SERVICE CHARGE","FULL-SERVICE",6/30/2025,39.00,,,20074.82,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/2/2025,80499.86,,,,95380.16
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/2/2025,3119.02,,,,95380.16
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/2/2025,3048.72,,,,95380.16
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",7/2/2025,3047.75,,,,95380.16
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Credit transactions","BUS ETRANSFER DEPOSIT","TXN REF:C1A44XYZCafy oceanorth",7/2/2025,2557.88,,,,95380.16
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Credit transactions","BUS ETRANSFER DEPOSIT","TXN REF:C1AhcGyWUPSu YUNG YUN HUANG",7/2/2025,1605.90,,,,95380.16
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/2/2025,"Credit transactions","MISC PAYMENT","FANTUAN",7/2/2025,1501.03,,,,95380.16
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/3/2025,"Debit transactions","SERVICE CHARGE","CMO - MONTHLY FEE CMO JUNE 2025",7/3/2025,50.00,,,54.00,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/3/2025,"Debit transactions","SERVICE CHARGE","CMO - AD-HOC PAYMENT CMO JUNE 2025",7/3/2025,4.00,,,54.00,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/3/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/3/2025,26195.16,,,,31899.39
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/3/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/3/2025,2619.18,,,,31899.39
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/3/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",7/3/2025,1713.30,,,,31899.39
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/3/2025,"Credit transactions","CREDIT MEMO","INT @ 2.4500% CIBC-AUTOMATED INTEREST SYSTEM",7/4/2025,1371.75,,,,31899.39
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/4/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/4/2025,21739.82,,,,25759.32
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/4/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",7/4/2025,2687.20,,,,25759.32
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/4/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/4/2025,1332.30,,,,25759.32
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/7/2025,"Debit transactions","GOVERNMENT","CANADA",7/7/2025,34048.11,,,34048.11,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/7/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/7/2025,110163.83,,,,129778.20
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/7/2025,"Credit transactions","MISC PAYMENT","Uber Holdings Canad",7/8/2025,4607.74,,,,129778.20
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/7/2025,"Credit transactions","MISC PAYMENT","IOT PAY",7/7/2025,3323.47,,,,129778.20
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/7/2025,"Credit transactions","BUS ETRANSFER DEPOSIT","TXN REF:C1AZMHFUCJpg YUNG YUN HUANG",7/7/2025,2597.15,,,,129778.20
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/7/2025,"Credit transactions","BUS ETRANSFER DEPOSIT","TXN REF:C1AW56dsvZw5 SHIN-YI HUANG",7/7/2025,2532.95,,,,129778.20
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/7/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/7/2025,1857.43,,,,129778.20
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/7/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/7/2025,1532.06,,,,129778.20
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/7/2025,"Credit transactions","BUS ETRANSFER DEPOSIT","TXN REF:C1A3ZnNp9CVR oceanorth",7/7/2025,1297.40,,,,129778.20
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/7/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",7/7/2025,1094.70,,,,129778.20
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/7/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/7/2025,771.47,,,,129778.20
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/8/2025,"Debit transactions","WITHDRAWAL 05910","BRENTWOOD BANKING CENTRE",7/8/2025,22454.64,,,52521.36,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/8/2025,"Debit transactions","MISC PAYMENT","RBC Life Insura",7/8/2025,6264.87,,,52521.36,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/8/2025,"Debit transactions","MISC PAYMENT","RBC Life Insura",7/8/2025,5296.67,,,52521.36,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/8/2025,"Debit transactions","MISC PAYMENT","RBC Life Insura",7/8/2025,4433.38,,,52521.36,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/8/2025,"Debit transactions","MISC PAYMENT","RBC Life Insura",7/8/2025,3559.68,,,52521.36,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/8/2025,"Debit transactions","MISC PAYMENT","RBC Life Insura",7/8/2025,3316.59,,,52521.36,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/8/2025,"Debit transactions","MISC PAYMENT","RBC Life Insura",7/8/2025,2494.71,,,52521.36,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/8/2025,"Debit transactions","MISC PAYMENT","RBC Life Insura",7/8/2025,2178.34,,,52521.36,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/8/2025,"Debit transactions","MISC PAYMENT","RBC Life Insura",7/8/2025,2165.20,,,52521.36,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/8/2025,"Debit transactions","PRE-AUTH DEBIT","SNAPPYDEBIT",7/8/2025,357.28,,,52521.36,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/8/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/8/2025,22063.94,,,,27094.88
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/8/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/8/2025,3010.94,,,,27094.88
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/8/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",7/8/2025,2020.00,,,,27094.88
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/9/2025,"Debit transactions","WITHDRAWAL 05910","BRENTWOOD BANKING CENTRE",7/9/2025,47132.22,,,47132.22,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/9/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/9/2025,27697.47,,,,34217.37
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/9/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/9/2025,2540.75,,,,34217.37
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/9/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",7/9/2025,2357.70,,,,34217.37
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/9/2025,"Credit transactions","MISC PAYMENT","FANTUAN",7/9/2025,1621.45,,,,34217.37
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/10/2025,"Debit transactions","BILL PAYMENT","FORTISBC HOLDINGS INC.",7/10/2025,1104.60,,,1144.40,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/10/2025,"Debit transactions","BILL PAYMENT","FORTISBC HOLDINGS INC.",7/10/2025,39.80,,,1144.40,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/10/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/10/2025,37032.83,,,,39601.85
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/10/2025,"Credit transactions","BUS ETRANSFER DEPOSIT","TXN REF:C1ANwwThE4Xu SHIN-YI HUANG",7/11/2025,1753.90,,,,39601.85
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/10/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/10/2025,815.12,,,,39601.85
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/11/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/11/2025,33464.86,,,,38086.25
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/11/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",7/11/2025,2819.00,,,,38086.25
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/11/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/11/2025,1802.39,,,,38086.25
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/14/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/14/2025,131204.35,,,,156083.33
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/14/2025,"Credit transactions","MISC PAYMENT","Uber Holdings Canad",7/15/2025,5569.03,,,,156083.33
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/14/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/14/2025,4824.53,,,,156083.33
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/14/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",7/14/2025,2769.65,,,,156083.33
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/14/2025,"Credit transactions","MISC PAYMENT","IOT PAY",7/14/2025,2760.26,,,,156083.33
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/14/2025,"Credit transactions","BUS ETRANSFER DEPOSIT","TXN REF:C1AXJDG7Svaz oceanorth",7/15/2025,2469.51,,,,156083.33
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/14/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/14/2025,2137.20,,,,156083.33
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/14/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",7/14/2025,1939.40,,,,156083.33
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/14/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/14/2025,1439.85,,,,156083.33
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/14/2025,"Credit transactions","BUS ETRANSFER DEPOSIT","TXN REF:C1AZtJH8Xvx5 YUNG YUN HUANG",7/14/2025,969.55,,,,156083.33
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/15/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/15/2025,23971.25,,,,31251.62
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/15/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/15/2025,3075.17,,,,31251.62
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/15/2025,"Credit transactions","MISC PAYMENT","FANTUAN",7/16/2025,2284.95,,,,31251.62
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/15/2025,"Credit transactions","BUS ETRANSFER DEPOSIT","TXN REF:C1Au4punrRst YUNG YUN HUANG",7/15/2025,1920.25,,,,31251.62
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/16/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/16/2025,27246.98,,,,31907.73
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/16/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",7/16/2025,2817.70,,,,31907.73
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/16/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/16/2025,1843.05,,,,31907.73
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/17/2025,"Debit transactions","MISC PAYMENT","MRCH30124340019 FIRST DATA CANADA(J)",7/17/2025,112.00,,,112.00,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/17/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/17/2025,25892.50,,,,29072.00
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/17/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",7/17/2025,1875.15,,,,29072.00
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/17/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/17/2025,1304.35,,,,29072.00
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/18/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/18/2025,26387.56,,,,31150.16
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/18/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",7/18/2025,3111.65,,,,31150.16
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/18/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/18/2025,1650.95,,,,31150.16
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/21/2025,"Debit transactions","WITHDRAWAL 05910","BRENTWOOD BANKING CENTRE",7/21/2025,64961.58,,,97256.87,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/21/2025,"Debit transactions","WITHDRAWAL 05910","BRENTWOOD BANKING CENTRE",7/21/2025,32295.29,,,97256.87,
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/21/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/21/2025,110689.54,,,,136638.29
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/21/2025,"Credit transactions","MISC PAYMENT","Uber Holdings Canad",7/22/2025,5866.22,,,,136638.29
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/21/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",7/21/2025,4033.90,,,,136638.29
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/21/2025,"Credit transactions","MISC PAYMENT","IOT PAY",7/21/2025,3564.73,,,,136638.29
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/21/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/21/2025,2705.61,,,,136638.29
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/21/2025,"Credit transactions","BUS ETRANSFER DEPOSIT","TXN REF:C1AT2xUhFkr6 YUNG YUN HUANG",7/21/2025,2466.00,,,,136638.29
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/21/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/21/2025,1874.92,,,,136638.29
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/21/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",7/21/2025,1835.00,,,,136638.29
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/21/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/21/2025,1820.54,,,,136638.29
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/21/2025,"Credit transactions","BUS ETRANSFER DEPOSIT","TXN REF:C1ADaA32ub4H oceanorth",7/21/2025,1781.83,,,,136638.29
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/22/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/22/2025,31346.01,,,,37453.27
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/22/2025,"Credit transactions","BUS ETRANSFER DEPOSIT","TXN REF:C1A7ss2TK847 SHIN-YI HUANG",7/22/2025,2277.10,,,,37453.27
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/22/2025,"Credit transactions","MISC PAYMENT","FANTUAN",7/23/2025,2029.12,,,,37453.27
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/22/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/22/2025,1801.04,,,,37453.27
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/23/2025,"Credit transactions","MISC PAYMENT","DP30124340019 FIRST DATA CANADA(J)",7/23/2025,24089.99,,,,27700.74
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/23/2025,"Credit transactions","DEPOSIT 05910","BRENTWOOD BANKING CENTRE",7/23/2025,2604.55,,,,27700.74
"HAI DI LAO CANADA RESTAURANTS","009002100401","CAD",7/23/2025,"Credit transactions","MISC PAYMENT","IOT PAY TECHNOLOGIES INC",7/23/2025,1006.20,,,,27700.74
